uvin,gufi,variable,value
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,typeOfoperation,Live
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,flightTestCardName,
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,takeOffWeight_lb,11.2
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,takeoffPosLat_deg,64.8433507
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,takeoffPosLon_deg,-147.7164726
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,takeoffPosAlt_ft,743.5039608000001
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,landingPosLat_deg,64.8431837
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,landingPosLon_deg,-147.7159745
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,landingPosAlt_ft,702.7231196
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,gcsPosLat_deg,64.831645
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,gcsPosLon_deg,-147.38416
41d234a1-38c2-4c31-a76f-f08a4ccca8d7,e7786838-0712-49a4-8cf3-184aee1bd307,gcsPosAlt_ft,144
